Type d'acte;Année;Arrondissement;Nombres
Reconnaissances;2018;7ème arrdt;96
Reconnaissances;2019;11ème arrdt;583
Reconnaissances;2020;10ème arrdt;542
Reconnaissances;2020;11ème arrdt;520
Reconnaissances;2021;4ème arrdt;1
Reconnaissances;2021;15ème arrdt;747
Reconnaissances;2021;17ème arrdt;529
Reconnaissances;2023;15ème arrdt;604
Mariages;2005;4ème arrdt;133
Mariages;2006;12ème arrdt;591
Mariages;2007;3ème arrdt;216
Mariages;2007;4ème arrdt;161
Mariages;2007;9ème arrdt;326
Mariages;2010;7ème arrdt;259
Mariages;2010;11ème arrdt;584
Mariages;2011;5ème arrdt;300
Mariages;2013;12ème arrdt;550
Mariages;2013;20ème arrdt;733
Mariages;2016;5ème arrdt;273
Mariages;2017;4ème arrdt;148
Mariages;2018;12ème arrdt;512
Mariages;2021;4ème arrdt;0
Mariages;2021;13ème arrdt;609
Mariages;2021;18ème arrdt;678
Mariages;2022;2ème arrdt;0
Décès;2005;9ème arrdt;125
Décès;2007;9ème arrdt;93
Décès;2008;11ème arrdt;302
Décès;2009;15ème arrdt;3336
Décès;2010;1er arrdt;43
Décès;2012;3ème arrdt;65
Décès;2012;19ème arrdt;971
Décès;2013;2ème arrdt;33
Décès;2014;8ème arrdt;83
Décès;2015;1er arrdt;36
Décès;2015;10ème arrdt;1371
Décès;2016;1er arrdt;37
Décès;2018;7ème arrdt;163
Décès;2020;12ème arrdt;1866
Décès;2021;4ème arrdt;47
Décès;2021;6ème arrdt;126
Décès;2022;10ème arrdt;1425
PACS;2017;9ème arrdt;126
PACS;2018;12ème arrdt;770
PACS;2018;17ème arrdt;734
PACS;2019;10ème arrdt;488
PACS;2020;17ème arrdt;666
PACS;2022;16ème arrdt;265
Changements de prénom;2017;3ème arrdt;16
Changements de prénom;2019;1er arrdt;9
Changements de prénom;2019;9ème arrdt;25
Changements de prénom;2019;20ème arrdt;61
Changements de prénom;2020;9ème arrdt;11
Changements de prénom;2021;6ème arrdt;11
Changements de prénom;2021;17ème arrdt;50
Changements de prénom;2023;5ème arrdt;21
Changements de nom (personne majeure);2022;18ème arrdt;195
Naissances;2006;3ème arrdt;2
Naissances;2006;5ème arrdt;3
Naissances;2006;16ème arrdt;1134
Naissances;2006;20ème arrdt;2115
Naissances;2007;16ème arrdt;1054
Naissances;2008;5ème arrdt;1
Naissances;2008;19ème arrdt;2953
Naissances;2010;1er arrdt;1
Naissances;2010;12ème arrdt;10226
Naissances;2011;16ème arrdt;1345
Naissances;2013;9ème arrdt;2
Naissances;2014;16ème arrdt;1319
Naissances;2015;9ème arrdt;4
Naissances;2015;12ème arrdt;9691
Naissances;2015;14ème arrdt;10586
Naissances;2015;20ème arrdt;2615
Naissances;2016;11ème arrdt;5
Naissances;2018;2ème arrdt;2
Naissances;2019;17ème arrdt;1080
Naissances;2019;20ème arrdt;2611
Naissances;2020;5ème arrdt;3
Naissances;2020;11ème arrdt;7
Naissances;2020;20ème arrdt;2558
Naissances;2021;12ème arrdt;9669
Naissances;2022;18ème arrdt;1919
Reconnaissances;2004;1er arrdt;79
Reconnaissances;2004;6ème arrdt;136
Reconnaissances;2004;17ème arrdt;918
Reconnaissances;2005;4ème arrdt;137
Reconnaissances;2005;6ème arrdt;120
Reconnaissances;2005;14ème arrdt;1073
Reconnaissances;2006;9ème arrdt;311
Reconnaissances;2007;7ème arrdt;105
Reconnaissances;2009;2ème arrdt;96
Reconnaissances;2009;5ème arrdt;152
Reconnaissances;2010;3ème arrdt;137
Reconnaissances;2010;13ème arrdt;938
Reconnaissances;2011;7ème arrdt;96
Reconnaissances;2011;8ème arrdt;106
Reconnaissances;2011;19ème arrdt;1104
Reconnaissances;2013;2ème arrdt;84
Reconnaissances;2013;13ème arrdt;934
Reconnaissances;2013;16ème arrdt;283
Reconnaissances;2015;7ème arrdt;89
Reconnaissances;2016;6ème arrdt;99
Reconnaissances;2016;16ème arrdt;265
Reconnaissances;2017;8ème arrdt;126
Reconnaissances;2017;16ème arrdt;261
Reconnaissances;2020;6ème arrdt;61
Reconnaissances;2020;18ème arrdt;949
Reconnaissances;2023;1er arrdt;1
Mariages;2004;17ème arrdt;633
Mariages;2005;14ème arrdt;663
Mariages;2005;20ème arrdt;980
Mariages;2008;15ème arrdt;953
Mariages;2009;13ème arrdt;778
Mariages;2010;5ème arrdt;287
Mariages;2010;6ème arrdt;206
Mariages;2010;15ème arrdt;924
Mariages;2011;7ème arrdt;247
Mariages;2012;15ème arrdt;996
Mariages;2013;3ème arrdt;250
Mariages;2014;9ème arrdt;316
Mariages;2018;17ème arrdt;525
Mariages;2019;3ème arrdt;224
Mariages;2020;1er arrdt;39
Mariages;2020;20ème arrdt;393
Mariages;2021;15ème arrdt;932
Mariages;2022;13ème arrdt;588
Décès;2004;5ème arrdt;623
Décès;2004;15ème arrdt;2744
Décès;2005;1er arrdt;35
Décès;2005;6ème arrdt;114
Décès;2007;17ème arrdt;386
Décès;2008;12ème arrdt;1534
Décès;2010;2ème arrdt;38
Décès;2011;1er arrdt;47
Décès;2011;14ème arrdt;1973
Décès;2012;4ème arrdt;248
Décès;2013;10ème arrdt;1364
Décès;2013;13ème arrdt;2200
